stop_name;stop_lon;stop_lat;shortName;mode;Pointgeo;Nom_commune;code postal
Lycï¿½e Petiet - Centre Commercial;2.330694653002169;48.92752593260786;177;Bus;48.92752593260786, 2.330694653002169;Villeneuve-la-Garenne;92078
Maurice Ravel;2.3321215163705293;48.93013285278317;177;Bus;48.93013285278317, 2.3321215163705293;Villeneuve-la-Garenne;92078
La Noue;2.3289642390265737;48.93471059303806;177;Bus;48.93471059303806, 2.3289642390265737;Villeneuve-la-Garenne;92078
Place Paul Herbe;2.327199680679205;48.94027628036324;177;Bus;48.94027628036324, 2.327199680679205;Villeneuve-la-Garenne;92078
Parc Dï¿½partemental;2.321791525718393;48.9414958078992;177;Bus;48.9414958078992, 2.321791525718393;Villeneuve-la-Garenne;92078
Normandie;2.242906600665004;48.89873793730962;178;Bus;48.89873793730962, 2.2429066006650036;Courbevoie;92026
Marceau;2.246301444532698;48.89979357625479;178;Bus;48.89979357625479, 2.246301444532698;Courbevoie;92026
D'Estienne d'Orves;2.2512158081901856;48.90143419472609;178;Bus;48.90143419472609, 2.2512158081901856;Courbevoie;92026
Chevreul;2.2665849197396604;48.90756373557565;178;Bus;48.90756373557565, 2.2665849197396604;Asniï¿½res-sur-Seine;92004
Bourguignons;2.279953127687574;48.918535510051534;178;Bus;48.918535510051534, 2.2799531276875746;Asniï¿½res-sur-Seine;92004
Les Agnettes;2.2875415900220943;48.92341014209118;178;Bus;48.92341014209118, 2.2875415900220943;Gennevilliers;92036
Jaurï¿½s - Camï¿½linat - Mairie;2.295068232683552;48.92690797282446;178;Bus;48.92690797282446, 2.2950682326835516;Gennevilliers;92036
Moulin de Cage;2.3025172813888948;48.93117825578757;178;Bus;48.93117825578757, 2.3025172813888948;Gennevilliers;92036
Rond-Point Pierre Timbaud;2.3033794679571247;48.933044809095314;178;Bus;48.933044809095314, 2.3033794679571247;Gennevilliers;92036
Parc des Chanteraines;2.3134323780216466;48.933552467421656;178;Bus;48.933552467421656, 2.3134323780216466;Gennevilliers;92036
Rond-Point Pierre Timbaud;2.303131509072044;48.93321423323089;178;Bus;48.93321423323089, 2.303131509072044;Gennevilliers;92036
Mï¿½nil;2.282449339378517;48.92058291862369;178;Bus;48.92058291862369, 2.2824493393785175;Asniï¿½res-sur-Seine;92004
Balzac;2.2693526611887824;48.90865983074877;178;Bus;48.90865983074877, 2.2693526611887824;Asniï¿½res-sur-Seine;92004
Europe;2.2566930367393017;48.90571311422201;178;Bus;48.90571311422201, 2.2566930367393017;La Garenne-Colombes;92035
Marceau;2.2465443532240466;48.89997496997406;178;Bus;48.89997496997406, 2.2465443532240466;Courbevoie;92026
Faubourg de l'Arche;2.240078574516626;48.89717318059553;178;Bus;48.89717318059553, 2.240078574516626;Courbevoie;92026
Citï¿½ Basse;2.2705278077802404;48.78197299359408;179;Bus;48.78197299359408, 2.2705278077802404;Le Plessis-Robinson;92060
Lï¿½on Blum;2.253315181736917;48.774086648708746;179;Bus;48.774086648708746, 2.2533151817369172;Le Plessis-Robinson;92060
Avenue Galilï¿½e;2.2442604917618323;48.77258163058291;179;Bus;48.77258163058291, 2.2442604917618323;Chï¿½tenay-Malabry;92019
De Lattre de Tassigny;2.2244618349657617;48.7853794932173;179;Bus;48.7853794932173, 2.2244618349657617;Meudon;92048
De Lattre de Tassigny;2.2242807654335635;48.785657138421456;179;Bus;48.785657138421456, 2.2242807654335635;Meudon;92048
Parc de Saint-Cloud;2.2198315358870118;48.82651513849003;179;Bus;48.82651513849003, 2.2198315358870113;Sï¿½vres;92072
Parc de Saint-Cloud;2.219320427502566;48.82608009618672;179;Bus;48.826080096186715, 2.219320427502566;Sï¿½vres;92072
Brimborion - Division Leclerc;2.22094350928254;48.82320363761984;179;Bus;48.823203637619834, 2.2209435092825394;Sï¿½vres;92072
Gare de Sï¿½vres - Rive Gauche;2.218729314552705;48.82098567968587;179;Bus;48.82098567968587, 2.218729314552705;Sï¿½vres;92072
Les Capucins;2.216389023085266;48.81720189934754;179;Bus;48.81720189934754, 2.216389023085266;Sï¿½vres;92072
Rond-Point des Bruyï¿½res;2.2143861733016044;48.81273673178409;179;Bus;48.81273673178409, 2.2143861733016044;Sï¿½vres;92072
Rond-Point du Petit Clamart;2.2295830400814807;48.7777675210768;179;Bus;48.7777675210768, 2.2295830400814807;Clamart;92023
La Boursidiï¿½re;2.239269056814599;48.77334144667307;179;Bus;48.77334144667307, 2.239269056814599;Le Plessis-Robinson;92060
Sï¿½verine;2.2512896005445016;48.77205025795721;179;Bus;48.77205025795721, 2.2512896005445016;Chï¿½tenay-Malabry;92019
Robinson;2.2733450362217145;48.78002043188278;179;Bus;48.78002043188278, 2.2733450362217145;Le Plessis-Robinson;92060
Gabriel Pï¿½ri;2.325752208519726;48.81813843604876;187;Bus;48.81813843604876, 2.325752208519726;Montrouge;92049
Grange Ory / Arcueil Cachan;2.323681059429004;48.80141604481147;187;Bus;48.80141604481147, 2.3236810594290036;Bagneux;92007
