route_id;route_long_name;stop_id;stop_name;stop_lon;stop_lat;OperatorName;shortName;mode;Pointgeo;Nom_commune;Code_insee
IDFM:C01090;52;IDFM:25424;Jean Jaur�s;2.2383897485340376;48.841987196869475;RATP;52;Bus;48.841987196869475, 2.2383897485340376;Boulogne-Billancourt;92012
IDFM:C01090;52;IDFM:25425;Rue de Silly;2.2318434428151854;48.84146867092551;RATP;52;Bus;48.84146867092551, 2.2318434428151854;Boulogne-Billancourt;92012
IDFM:C01090;52;IDFM:37129;Rhin et Danube - M�tro;2.2293978593380217;48.84099426000296;RATP;52;Bus;48.84099426000296, 2.2293978593380217;Boulogne-Billancourt;92012
IDFM:C01090;52;IDFM:427159;Pont de Saint-Cloud - Albert Kahn;2.226944050482211;48.841077359034756;RATP;52;Bus;48.841077359034756, 2.226944050482211;Boulogne-Billancourt;92012
IDFM:C01090;52;IDFM:478511;Parc de Saint-Cloud;2.2219767425622123;48.84250214506673;RATP;52;Bus;48.84250214506673, 2.2219767425622123;Saint-Cloud;92064
IDFM:C01090;52;IDFM:27091;Pont de Saint-Cloud - Albert Kahn;2.2272066427486727;48.840827230275366;RATP;52;Bus;48.840827230275366, 2.2272066427486727;Boulogne-Billancourt;92012
IDFM:C01090;52;IDFM:25426;Rue de Silly;2.231831409098769;48.841360668564356;RATP;52;Bus;48.841360668564356, 2.231831409098769;Boulogne-Billancourt;92012
IDFM:C01090;52;IDFM:37130;La Tourelle;2.2516119604361307;48.84446297642898;RATP;52;Bus;48.84446297642898, 2.2516119604361307;Boulogne-Billancourt;92012
IDFM:C01092;54;IDFM:27152;L�on Blum;2.300592630805395;48.906822850119404;RATP;54;Bus;48.906822850119404, 2.300592630805395;Clichy;92024
IDFM:C01092;54;IDFM:36533;Barbusse - Martre;2.307939581203164;48.90114586913622;RATP;54;Bus;48.90114586913622, 2.307939581203164;Clichy;92024
IDFM:C01095;58;IDFM:28702;Jean Jaur�s - Jean Bleuzen;2.29757983622264;48.82375930052893;RATP;58;Bus;48.82375930052893, 2.29757983622264;Vanves;92075
IDFM:C01095;58;IDFM:463780;Adolphe Pinard;2.3009935622999773;48.82515535830809;RATP;58;Bus;48.82515535830809, 2.3009935622999773;Vanves;92075
IDFM:C01104;68;IDFM:461490;Ch�tillon - Montrouge - M�tro;2.3036372958438682;48.81180589840054;RATP;68;Bus;48.81180589840054, 2.3036372958438682;Montrouge;92049
IDFM:C01104;68;IDFM:36263;Jules Guesde;2.3063553371847987;48.813242737026656;RATP;68;Bus;48.813242737026656, 2.3063553371847987;Montrouge;92049
IDFM:C01104;68;IDFM:28836;Jean Jaur�s;2.3105314824022174;48.81565027416114;RATP;68;Bus;48.81565027416114, 2.3105314824022174;Montrouge;92049
IDFM:C01104;68;IDFM:478737;Verdier - Guillot;2.3140268379394717;48.816003152676636;RATP;68;Bus;48.816003152676636, 2.3140268379394717;Montrouge;92049
IDFM:C01104;68;IDFM:12364;Jean Jaur�s - Stades multisports;2.310814175693586;48.814869436090596;RATP;68;Bus;48.814869436090596, 2.310814175693586;Montrouge;92049
IDFM:C01104;68;IDFM:22995;Jules Guesde;2.3092808107236675;48.812396259299746;RATP;68;Bus;48.812396259299746, 2.3092808107236675;Montrouge;92049
IDFM:C01104;68;IDFM:40821;Maurice Arnoux;2.3073408984214914;48.81081110049005;RATP;68;Bus;48.81081110049005, 2.3073408984214914;Montrouge;92049
IDFM:C01107;72;IDFM:25544;Ancienne Mairie;2.2342616592297477;48.840099135849975;RATP;72;Bus;48.840099135849975, 2.2342616592297477;Boulogne-Billancourt;92012
IDFM:C01107;72;IDFM:24018;Victor Hugo;2.246359988601569;48.839213637969294;RATP;72;Bus;48.839213637969294, 2.246359988601569;Boulogne-Billancourt;92012
IDFM:C01108;73;IDFM:40775;Maurice Barres;2.2589773892213545;48.88132843471266;RATP;73;Bus;48.88132843471266, 2.2589773892213545;Neuilly-sur-Seine;92051
IDFM:C01108;73;IDFM:415891;Boieldieu;2.240337134025124;48.88786672191782;RATP;73;Bus;48.88786672191782, 2.240337134025124;Puteaux;92062
IDFM:C01108;73;IDFM:461820;Pont de Neuilly;2.260190265541585;48.884258787737096;RATP;73;Bus;48.884258787737096, 2.260190265541585;Neuilly-sur-Seine;92051
IDFM:C01109;74;IDFM:24064;Victor Hugo - Jean Jaur�s;2.3109601164262936;48.89761096972901;RATP;74;Bus;48.89761096972901, 2.3109601164262936;Clichy;92024
IDFM:C01109;74;IDFM:27343;Curton;2.3125562276384697;48.898627381953695;RATP;74;Bus;48.898627381953695, 2.3125562276384697;Clichy;92024
IDFM:C01109;74;IDFM:25767;G�n�ral Leclerc - Villeneuve - H�pital Beaujon;2.310173425079983;48.90551145070189;RATP;74;Bus;48.90551145070189, 2.310173425079983;Clichy;92024
IDFM:C01109;74;IDFM:24062;R�publique - Fran�ois Mitterrand;2.3136097943468;48.90251848287129;RATP;74;Bus;48.90251848287129, 2.3136097943468;Clichy;92024
IDFM:C01114;82;IDFM:28710;G�n�ral Gouraud;2.2620458397009684;48.88611387980464;RATP;82;Bus;48.88611387980464, 2.2620458397009684;Neuilly-sur-Seine;92051
IDFM:C01114;82;IDFM:29277;Sainte-Foy;2.268286471250581;48.88454236888749;RATP;82;Bus;48.88454236888749, 2.268286471250581;Neuilly-sur-Seine;92051
IDFM:C01114;82;IDFM:26258;Montrosier - Parmentier;2.2796277030624803;48.88191313312827;RATP;82;Bus;48.88191313312827, 2.2796277030624803;Neuilly-sur-Seine;92051
